DEPTH	N2.0M0.5A	N11.0M0.5A
M	OHMM	OHMM
0.0000	5.7375	5.7394
0.1000	5.7465	5.7500
0.2000	5.7406	5.7481
0.3000	5.7271	5.7403
0.4000	5.7111	5.7311
0.5000	5.7217	5.7451
0.6000	5.7554	5.7784
0.7000	5.7725	5.7974
0.8000	5.7591	5.7909
0.9000	5.7334	5.7748
1.0000	5.7238	5.7735
1.1000	5.7489	5.8020
1.2000	5.7977	5.8510
1.3000	5.8349	5.8904
1.4000	5.8483	5.9103
1.5000	5.8506	5.9221
1.6000	5.8641	5.9444
1.7000	5.9053	5.9909
1.8000	5.9586	6.0482
1.9000	5.9942	6.0911
2.0000	6.0200	6.1271
2.1000	6.0568	6.1742
2.2000	6.1294	6.2532
2.3000	6.2489	6.3730
2.4000	6.4090	6.5274
2.5000	6.6042	6.7132
2.6000	6.8601	6.9530
2.7000	7.2353	7.2942
2.8000	7.7735	7.7692
2.9000	8.4267	8.3341
3.0000	9.1529	8.9560
3.1000	9.9840	9.6646
3.2000	11.0246	10.5494
3.3000	12.4736	11.7769
3.4000	14.1375	13.1833
3.5000	15.5616	14.3867
3.6000	16.6582	15.3146
3.7000	17.5008	16.0311
3.8000	18.1673	16.6025
3.9000	18.7183	17.0769
4.0000	19.1799	17.4740
4.1000	19.5079	17.7565
4.2000	19.6584	17.8891
4.3000	19.7449	17.9706
4.4000	19.8275	18.0508
4.5000	19.9704	18.1825
4.6000	20.1827	18.3738
4.7000	20.3403	18.5200
4.8000	20.4503	18.6322
4.9000	20.6173	18.8013
5.0000	20.7517	18.9516
5.1000	20.8131	19.0506
5.2000	20.8161	19.1170
5.3000	20.7232	19.1370
5.4000	20.5586	19.1247
5.5000	20.3986	19.1119
5.6000	20.3117	19.1476
5.7000	20.2494	19.1863
5.8000	20.1466	19.1745
5.9000	20.0503	19.1589
6.0000	20.0047	19.1824
6.1000	19.9537	19.1968
6.2000	19.9150	19.2113
6.3000	19.8548	19.1979
6.4000	19.7319	19.1274
6.5000	19.5330	18.9908
6.6000	19.3077	18.8322
6.7000	19.0998	18.6856
6.8000	18.9483	18.5804
6.9000	18.8669	18.5316
7.0000	18.8270	18.5098
7.1000	18.7278	18.4280
7.2000	18.5069	18.2342
7.3000	18.2155	17.9706
7.4000	17.9326	17.7075
7.5000	17.6740	17.4603
7.6000	17.4037	17.1977
7.7000	17.0288	16.8350
7.8000	16.4250	16.2626
7.9000	15.5125	15.4140
8.0000	14.3418	14.3376
8.1000	13.0501	13.1610
8.2000	11.9142	12.1368
8.3000	11.0422	11.3583
8.4000	10.3243	10.7229
8.5000	9.6723	10.1524
8.6000	9.0637	9.6282
8.7000	8.5427	9.1846
8.8000	8.1698	8.8717
8.9000	7.9287	8.6753
9.0000	7.7704	8.5536
9.1000	7.6566	8.4717
9.2000	7.5697	8.4120
9.3000	7.4973	8.3637
9.4000	7.4454	8.3327
9.5000	7.4410	8.3439
9.6000	7.5346	8.4426
9.7000	7.7630	8.6579
9.8000	8.1157	8.9721
9.9000	8.5076	9.3062
10.0000	8.8972	9.6297
10.1000	9.3033	9.9639
10.2000	9.7873	10.3623
10.3000	10.4545	10.9124
10.4000	11.1758	11.5029
10.5000	11.7122	11.9318
10.6000	12.0772	12.2082
10.7000	12.3429	12.3935
10.8000	12.5501	12.5266
10.9000	12.7216	12.6298
11.0000	12.8767	12.7220
11.1000	13.0200	12.8080
11.2000	13.1240	12.8642
11.3000	13.2358	12.9302
11.4000	13.3593	13.0079
11.5000	13.3890	13.0078
11.6000	13.3448	12.9486
11.7000	13.3062	12.8995
