DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B	N2.0M0.5A	N11.0M0.5A
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
0.0000	5.5004	5.8577	5.9470	5.3683	6.5807	4.7862	5.7378	5.7396
0.1000	5.5203	5.8826	5.8526	5.3552	6.6996	4.7672	5.7468	5.7503
0.2000	5.5170	5.9029	5.8167	5.3452	6.8474	4.7515	5.7404	5.7480
0.3000	5.4924	5.9253	5.9179	5.3322	7.0053	4.7323	5.7267	5.7399
0.4000	5.4713	5.9575	5.9785	5.3281	7.1772	4.7170	5.7110	5.7311
0.5000	5.4866	6.0002	5.9393	5.3207	7.3645	4.6955	5.7214	5.7449
0.6000	5.5225	6.0501	5.8541	5.2924	7.5852	4.6579	5.7557	5.7786
0.7000	5.5399	6.1013	5.7854	5.2620	7.8703	4.6219	5.7724	5.7973
0.8000	5.5251	6.1527	5.8127	5.2455	8.1870	4.5982	5.7593	5.7911
0.9000	5.4939	6.2044	5.9076	5.2394	8.4650	4.5801	5.7333	5.7747
1.0000	5.4821	6.2598	5.9641	5.2320	8.6859	4.5559	5.7241	5.7737
1.1000	5.5059	6.3327	5.9087	5.2058	8.8627	4.5135	5.7489	5.8020
1.2000	5.5501	6.4203	5.7782	5.1559	9.0341	4.4527	5.7976	5.8509
1.3000	5.5819	6.5061	5.6861	5.0999	9.2470	4.3900	5.8351	5.8905
1.4000	5.5846	6.5898	5.6911	5.0544	9.4961	4.3368	5.8482	5.9102
1.5000	5.5803	6.6800	5.7679	5.0242	9.7575	4.2938	5.8513	5.9227
1.6000	5.5911	6.7893	5.7898	5.0007	10.0188	4.2535	5.8645	5.9447
1.7000	5.6330	6.9257	5.7309	4.9704	10.3055	4.2063	5.9048	5.9905
1.8000	5.6888	7.0858	5.6493	4.9305	10.6671	4.1539	5.9589	6.0485
1.9000	5.7275	7.2649	5.6040	4.8958	11.1126	4.1095	5.9941	6.0911
2.0000	5.7487	7.4609	5.6649	4.8676	11.5912	4.0710	6.0203	6.1273
2.1000	5.7774	7.6797	5.7640	4.8408	12.0773	4.0340	6.0573	6.1745
2.2000	5.8432	7.9159	5.7462	4.8083	12.5873	3.9940	6.1290	6.2529
2.3000	5.9555	8.1404	5.6208	4.7539	13.2006	3.9465	6.2491	6.3732
2.4000	6.0878	8.3404	5.4685	4.6697	13.9523	3.8952	6.4090	6.5274
2.5000	6.2352	8.5225	5.3778	4.5834	14.9139	3.8595	6.6047	6.7137
2.6000	6.4235	8.6967	5.3233	4.5236	16.1811	3.8617	6.8606	6.9534
2.7000	6.7085	8.8804	5.2094	4.5036	17.8992	3.9340	7.2353	7.2943
2.8000	7.1473	9.0886	5.0268	4.5793	20.5107	4.1516	7.7738	7.7695
2.9000	7.7299	9.3258	4.8363	4.8104	23.7705	4.5612	8.4266	8.3340
3.0000	8.3976	9.5778	4.9499	5.1752	26.6717	5.0929	9.1530	8.9561
3.1000	9.1639	9.8443	5.5982	5.6547	28.8221	5.6887	9.9831	9.6639
3.2000	10.1537	10.1429	6.3418	6.2105	30.0114	6.2791	11.0244	10.5493
3.3000	11.4361	10.4832	6.9528	6.7214	30.0849	6.7366	12.4738	11.7771
3.4000	12.6888	10.8733	7.4170	7.0808	29.3721	7.0041	14.1378	13.1835
