tool,span_m,r90_m,up90_m,down90_m,r95_m,up95_m,down95_m,r99_m,up99_m,down99_m
A0.4M0.1N,0.450,0.435,0.554,0.385,0.614,0.694,0.634,1.334,1.274,1.673
A1.0M0.1N,1.050,0.911,1.252,0.636,1.304,1.540,1.121,2.799,2.799,3.114
A2.0M0.5N,2.250,2.121,2.739,1.784,2.992,3.413,2.992,6.447,6.223,7.936
A4.0M0.5N,4.250,3.741,5.068,2.680,5.333,6.288,4.696,11.436,11.383,12.921
A8.0M1.0N,8.500,7.482,10.136,5.360,10.666,12.577,9.393,22.871,22.765,25.843
B5.7A0.4M,5.900,1.568,1.273,1.015,2.490,2.564,1.679,5.995,7.545,4.815
B4.48A1.62M,5.290,3.653,4.273,2.828,5.222,6.130,4.355,11.456,11.992,10.754
M1.0A0.1B,1.050,0.911,1.252,0.636,1.304,1.540,1.121,2.799,2.799,3.114
N0.5M2.0A,2.250,2.121,1.784,2.739,2.992,2.992,3.413,6.447,7.936,6.223
M4.0A0.5B,4.250,3.741,5.068,2.680,5.333,6.288,4.696,11.436,11.383,12.921
N2.0M0.5A,2.250,1.291,1.466,0.957,1.888,2.379,1.501,4.188,4.539,3.819
N11.0M0.5A,11.250,2.216,1.653,1.372,3.693,3.412,2.427,9.391,12.627,7.281
